sample_biological_replicate	Sample Name	Run	Sample Name	Library Name	SampleID	Gender	SampleNumber	CageID	Run	MouseID	Generation	AgeWeeks	Strain	GroupGenAge	GroupAge	GroupGeneration	Group	Housing	Description
fecal sample from mouse microbiota-associated SW mice 7	21.3	SRR7722132	21.3	21_3	21.03	F	200	15	3	23	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 29	23.3	SRR7722146	23.3	23_3	23.03	F	202	18	3	17	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 8	23.4	SRR7722127	23.4	23_4	23.04	M	291	22	4	42	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 9	26.2	SRR7722128	26.2	26_2	26.02.00	F	114	18	2	19	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 10	29.1	SRR7722135	29.1	29_1	29.01.00	M	28	19	1	24	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 11	29.3	SRR7722134	29.3	29_3	29.03.00	F	209	25	3	38	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 30	31.1	SRR7722152	31.1	31_1	31.01.00	M	30	6	1	9	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 12	33.2	SRR7722118	33.2	33_2	33.02.00	F	121	15	2	21	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 31	34.1	SRR7722155	34.1	34_1	34.01.00	F	33	24	1	30	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 13	39.3	SRR7722123	39.3	39_3	39.03.00	F	217	3	3	2	P	10-Nov	Tac:SW	C_P_10-11	C_10-11	C_P	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 32	42.2	SRR7722104	42.2	42_2	42.02.00	F	129	25	2	40	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 14	42.3	SRR7722117	42.3	42_3	42.03.00	M	220	16	3	7	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 15	43.4	SRR7722115	43.4	43_4	43.04.00	F	310	24	4	32	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 16	45.2	SRR7722113	45.2	45_2	45.02.00	M	132	26	2	46	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 17	48.3	SRR7722110	48.3	48_3	48.03.00	M	226	22	3	43	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 18	49.3	SRR7722109	49.3	49_3	49.03.00	M	227	6	3	9	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 19	49.4	SRR7722108	49.4	49_4	49.04.00	F	316	18	4	17	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 33	52.1	SRR7722165	52.1	52_1	52.01.00	F	50	23	1	48	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 34	52.3	SRR7722166	52.3	52_3	52.03.00	F	230	18	3	18	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 35	54.3	SRR7722143	54.3	54_3	54.03.00	M	232	26	3	46	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 36	55.1	SRR7722142	55.1	55_1	55.01.00	F	53	25	1	39	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 37	56.4	SRR7722145	56.4	56_4	56.04.00	F	323	24	4	32	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 38	58.1	SRR7722144	58.1	58_1	58.01.00	M	56	17	1	13	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 20	61.2	SRR7722103	61.2	61_2	61.02.00	M	148	16	2	10	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 39	65.4	SRR7722141	65.4	65_4	65.04.00	M	332	6	4	8	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 21	68.1	SRR7722101	68.1	68_1	68.01.00	F	65	23	1	49	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 40	69.2	SRR7722137	69.2	69_2	69.02.00	M	155	17	2	12	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 41	69.3	SRR7722136	69.3	69_3	69.03.00	F	246	23	3	50	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 42	70.1	SRR7722161	70.1	70_1	70.01.00	F	67	18	1	19	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 22	72.4	SRR7722095	72.4	72_4	72.04.00	M	338	17	4	13	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 23	78.4	SRR7722079	78.4	78_4	78.04.00	F	341	20	4	28	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 43	83.3	SRR7722159	83.3	83_3	83.03.00	F	257	4	3	4	P	17-18	Tac:SW	C_P_17-18	C_17-18	C_P	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 24	84.3	SRR7722081	84.3	84_3	84.03.00	F	258	24	3	31	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 44	87.2	SRR7722169	87.2	87_2	87.02.00	M	170	19	2	25	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 45	88.3	SRR7722187	88.3	88_3	88.03.00	F	262	21	3	35	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 46	90.4	SRR7722185	90.4	90_4	90.04.00	M	353	19	4	24	F1	17-18	Tac:SW	C_F1_17-18	C_17-18	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 25	91.4	SRR7722074	91.4	91_4	91.04.00	M	354	26	4	47	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
fecal sample from mouse microbiota-associated SW mice 26	94.3	SRR7722180	94.3	94_3	94.03.00	M	267	19	3	25	F1	10-Nov	Tac:SW	C_F1_10-11	C_10-11	C_F1	C	Isolator	C_Isolator
Human fecal inoculum	17.2	SRR7722189	17.2	17_2	17.02	M	105	NA	2	NA	HumanInoculum	NA	NA	NA	NA	NA	NA	NA	Humwoglyc
Mouse fecal inoculum	55.2	SRR7722188	55.2	55_2	55.02.00	F+M	142	NA	2	NA	Murine inoculum w/o glycerol	NA	NA	NA	NA	NA	NA	NA	Murwoglyc
